,logger,summer_days,tropical_nights,Name,x,y
47,53,25,4,"Breitenrain, Waffenweg",7.451910007396245,46.96174001030618
48,54,0,0,Waisenhausplatz IV (Pocketpark): vor Starbucks,7.443760007390743,46.94879001030303
49,55,28,3,Bollwerk (Strasseninsel),7.440770007386882,46.95152001030483
50,57,27,2,Eigerplatz,7.4313300073794535,46.94077001030289
51,58,15,0,Murifeld (vor Wohnturm 3),7.480070007431756,46.93919001029033
52,59,22,0,Schlossmatte Familiengärten,7.416890007363716,46.942110010306926
53,60,0,0,Roschistrasse,7.438870007388879,46.935080010298755
54,61,27,0,Westside Center,7.374780007317862,46.945550010318485
55,62,31,0,Felsenhaldenweg,7.441160007381786,46.97400001031361
56,63,0,0,"Wylergut, Jaunweg 11",7.449220007391924,46.96766001030916
57,64,0,0,,,
58,65,28,0,Umland Bolligen,7.503760007450102,46.966820010295436
59,68,27,2,Gleisfeld Welle,7.433650007380081,46.948320010305345
60,69,32,1,Eisenbahnquartier,7.4231200073715655,46.937190010303425
61,70,24,2,Bundesplatz,7.443540007390967,46.9469200103023
62,71,24,2,Hirschengraben,7.437860007384991,46.94658001030357
63,73,23,1,"Obstberg, Wattenwylweg 32",7.46407000741278,46.94714001029742
64,74,0,0,Waisenhausplatz II (Westseite): vor Rest. Luce,7.444370007391299,46.949170010303
65,76,28,0,"Wabern, Viktoriastrasse 9",7.453260007405168,46.931220010293714
66,77,0,0,Viererfeld Wald,7.435820007378537,46.964060010310995
67,78,20,0,Dalmazibrücke,7.445710007393884,46.9444600103008
68,79,23,0,Umland Belp,7.5118200074753,46.89942001026664
69,80,33,0,Elfenau Kreuzung Hofmeister- Matterstrasse (Wegli),7.4695400074214335,46.9356000102915
70,82,31,1,Thunplatz,7.458220007408141,46.94065001029629
71,83,24,3,Stadtlabor,7.462550007407231,46.963120010304124
72,85,0,0,Ensingerstrasse 28,7.461320007411005,46.94244001029619
73,86,28,1,"Ostermundigen, Lötschenstr 13",7.487070007435824,46.95289001029403
74,87,13,0,Engehalde Stauwehr,7.445040007388011,46.965470010309325
75,97,0,0,,,
76,98,17,0,Zollikofen Referenz 2m,7.464030007401972,46.9908000103146
77,99,14,0,Zollikofen Referenz 3m,7.464030007401972,46.9908000103146
78,101,5,0,"Steinhölzliwald, (Zugang: Goumoenstr. 58)",7.428050007377325,46.93514001030142
79,102,31,2,"Vorderes LG-Quartier, Falkenweg 5",7.437140007382974,46.95170001030578
80,110,24,3,Rosalia-Wenger Platz,7.463900007407409,46.968230010305774
81,111,11,2,Tellstrasse,7.4614700074068105,46.96014001030316
82,112,22,2,"Ausserholligen 1, Post",7.4018900073463625,46.94757001031273
83,113,23,3,"Ausserholligen 2, ewb",7.406430007351729,46.94543001031079
84,114,29,2,"Bachmätteli 1, Polizei",7.390510007335988,46.94019001031254
85,115,24,2,Bachmätteli 2,7.390070007335571,46.939960010312575
86,116,23,0,Ansermetplatz,7.378080007320822,46.947910010318594
87,117,9,0,Köniztal,7.442463007398914,46.909630010287685
88,118,19,1,Helvetiaplatz Monitoring,7.449360007397983,46.94359001029957
89,119,6,0,Rosalia-Wenger Platz Monitoring,7.464010007407676,46.9676200103055
90,122,35,4,"Waisenhausplatz II, vor Rest. Luce",7.444370007391299,46.949170010303
91,124,25,2,Käfigturm,7.44361000739071,46.948260010302846
92,125,24,2,"Bärenplatz, Schachfeld",7.443660007390988,46.94734001030245
93,131,37,0,Marzili Beton,7.441030007389405,46.942380010301164
94,132,37,0,Marzili Entsiegelung,7.4406000073889835,46.9422200103012
95,133,16,0,Marzili Rasen,7.4408000073892095,46.942160010301116
96,141,21,0,Viererfeld 2 (Schacht),7.436890007380007,46.96271001031018
97,142,18,0,Viererfeld 3 (Strasse Süd),7.440090007383381,46.9628600103095
98,143,20,0,Viererfeld 4 (Strasse Nord),7.44165000738446,46.965230010310044
99,151,22,3,Ostermundigen BäreTower,7.481140007428845,46.95563001029659
100,152,29,3,Ostermundigen Moosweg,7.488070007435592,46.95813001029586
101,153,29,1,Ostermundigen Wegmühlegässli,7.4937000074415865,46.9580700102945
102,154,20,0,Ostermundigen Oberfeld,7.49792000744606,46.95810001029346
103,155,26,1,Ostermundigen Milchstrasse,7.482020007428107,46.96241001029902
